O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
3,T.M. MOOSA,SOCIAL DEMOCRATIC PARTY OF INDIA,1273,13,1286,0.94,Kerala-KOTHAMANGALAM
4,Shibu Thekkumpuram,Kerala Congress,55868,1761,57629,42.16,Kerala-KOTHAMANGALAM
5,SHINE  K KRISHNAN,Bharath Dharma Jana Sena,4532,106,4638,3.39,Kerala-KOTHAMANGALAM
6,ANTO JOHNY,Independent,121,15,136,0.1,Kerala-KOTHAMANGALAM
7,SHIBU,Independent,101,5,106,0.08,Kerala-KOTHAMANGALAM
8,Shibu Thekkan,Independent,261,15,276,0.2,Kerala-KOTHAMANGALAM
9,NOTA,None of the Above,372,42,414,0.3,Kerala-KOTHAMANGALAM
1,PROF. ABID HUSSAIN THANGAL,Indian Union Muslim League,80061,1639,81700,51.08,Kerala-KOTTAKKAL
2,P. P. GANESAN,Bharatiya Janata Party,10556,240,10796,6.75,Kerala-KOTTAKKAL
3,N. A. MUHAMMED KUTTY (MAMMUTY),Nationalist Congress Party,63739,1373,65112,40.71,Kerala-KOTTAKKAL
4,AYISHA,Independent,319,9,328,0.21,Kerala-KOTTAKKAL
5,BINDHU DEVARAJAN,Independent,477,4,481,0.3,Kerala-KOTTAKKAL
6,MOHAMED KUTTY,Independent,662,13,675,0.42,Kerala-KOTTAKKAL
7,SAINUL ABID THANGAL,Independent,160,13,173,0.11,Kerala-KOTTAKKAL
8,NOTA,None of the Above,664,4,668,0.42,Kerala-KOTTAKKAL
1,K N BALAGOPAL,Communist Party of India  (Marxist),66612,2158,68770,45.98,Kerala-KOTTARAKKARA
2,R RESMI,Indian National Congress,56127,1829,57956,38.75,Kerala-KOTTARAKKARA
3,Adv. VAYAKKAL SOMAN,Bharatiya Janata Party,20710,513,21223,14.19,Kerala-KOTTARAKKARA
4,USHA KOTTARAKKARA,Anna Democratic Human Rights Movement Party of India,453,7,460,0.31,Kerala-KOTTARAKKARA
5,E. KUNJUMON,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),83,4,87,0.06,Kerala-KOTTARAKKARA
6,JAINEENDRAN T,Shiv Sena,57,0,57,0.04,Kerala-KOTTARAKKARA
7,V VENUGOPAL,Democratic Social Justice Party,86,10,96,0.06,Kerala-KOTTARAKKARA
8,EYYAMKODU MANIKUTTAN,Independent,81,9,90,0.06,Kerala-KOTTARAKKARA
9,MATHEWS K LUKOSE,Independent,133,3,136,0.09,Kerala-KOTTARAKKARA
10,LAL VISWAN,Independent,103,0,103,0.07,Kerala-KOTTARAKKARA
11,NOTA,None of the Above,568,6,574,0.38,Kerala-KOTTARAKKARA
1,Adv.K.ANILKUMAR,Communist Party of India  (Marxist),45974,684,46658,38.33,Kerala-KOTTAYAM
2,THIRUVANCHOOR RADHAKRISHNAN,Indian National Congress,64309,1092,65401,53.72,Kerala-KOTTAYAM
3,MINERVA MOHAN,Bharatiya Janata Party,8501,110,8611,7.07,Kerala-KOTTAYAM
4,SREEKUMAR CHAKKALA,Bahujan Samaj Party,372,2,374,0.31,Kerala-KOTTAYAM
5,ARUN MANGATTU,Akhil Bharat Hindu Mahasabha,75,2,77,0.06,Kerala-KOTTAYAM
6,M.K.SHAHAZAD,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),138,6,144,0.12,Kerala-KOTTAYAM
7,NOTA,None of the Above,468,5,473,0.39,Kerala-KOTTAYAM
1,VISHNUPURAM CHANDRASEKHARAN,Bharatiya Janata Party,18267,397,18664,11.73,Kerala-KOVALAM
2,NEELALOHITHADASAN NADAR,Janata Dal  (Secular),61582,1724,63306,39.79,Kerala-KOVALAM
3,Adv. M. VINCENT,Indian National Congress,72676,2192,74868,47.06,Kerala-KOVALAM
4,KANCHAMPAZHINJI SASIKUMAR,Bahujan Samaj Party,635,6,641,0.4,Kerala-KOVALAM
5,AJIL R.A.,Independent,141,6,147,0.09,Kerala-KOVALAM
6,VENGANOOR ASOKAN,Independent,268,16,284,0.18,Kerala-KOVALAM
7,PRINCE V.S.,Independent,402,15,417,0.26,Kerala-KOVALAM
8,NOTA,None of the Above,758,15,773,0.49,Kerala-KOVALAM
1,K M ABHIJITH,Indian National Congress,44759,1437,46196,33.58,Kerala-KOZHIKODE NORTH
2,M T RAMESH,Bharatiya Janata Party,30241,711,30952,22.5,Kerala-KOZHIKODE NORTH
3,Thottathil Ravindran,Communist Party of India  (Marxist),57357,1767,59124,42.98,Kerala-KOZHIKODE NORTH
4,K RAHIM,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),152,4,156,0.11,Kerala-KOZHIKODE NORTH
5,N ABHIJITH,Independent,328,0,328,0.24,Kerala-KOZHIKODE NORTH
6,V P RAMESH,Independent,84,12,96,0.07,Kerala-KOZHIKODE NORTH
7,A RAMESH,Independent,94,10,104,0.08,Kerala-KOZHIKODE NORTH
8,URANDIYIL RAVEENDRAN,Independent,75,15,90,0.07,Kerala-KOZHIKODE NORTH
9,NOTA,None of the Above,513,3,516,0.38,Kerala-KOZHIKODE NORTH
1,NAVYA HARIDAS,Bharatiya Janata Party,24314,559,24873,20.89,Kerala-KOZHIKODE SOUTH
2,ADV. NOORBEENA RASHEED,Indian Union Muslim League,39393,705,40098,33.68,Kerala-KOZHIKODE SOUTH
3,AHAMMAD DEVARKOVIL,Indian National League,51582,975,52557,44.15,Kerala-KOZHIKODE SOUTH
4,P. HAREENDRANATH,Democratic Social Justice Party,392,18,410,0.34,Kerala-KOZHIKODE SOUTH
5,ADV. MUBEENA,Independent,503,10,513,0.43,Kerala-KOZHIKODE SOUTH
6,NOTA,None of the Above,585,18,603,0.51,Kerala-KOZHIKODE SOUTH
1,J.Mercykutty Amma,Communist Party of India  (Marxist),69906,1976,71882,45.96,Kerala-KUNDARA
2,P.C.Vishnunadh,Indian National Congress,74664,1741,76405,48.85,Kerala-KUNDARA
3,R.Rahul,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),444,13,457,0.29,Kerala-KUNDARA
4,Vanaja Vidyadharan,Bharath Dharma Jana Sena,5983,117,6100,3.9,Kerala-KUNDARA
5,Vinod Bahuleyan,Rashtriya Janata Dal,169,3,172,0.11,Kerala-KUNDARA
6,Shiju M Varghese,Democratic Social Justice Party,181,5,186,0.12,Kerala-KUNDARA
7,Sibu Karamcodu,Anna Democratic Human Rights Movement Party of India,227,2,229,0.15,Kerala-KUNDARA
8,Santhosh Adooran,Independent,252,8,260,0.17,Kerala-KUNDARA
9,NOTA,None of the Above,692,18,710,0.45,Kerala-KUNDARA
1,ADV: V.K. SAJEEVAN,Bharatiya Janata Party,27048,624,27672,14.28,Kerala-KUNNAMANGALAM
2,E. P. ANWAR SADATH,Welfare Party Of India,1026,31,1057,0.55,Kerala-KUNNAMANGALAM
3,ABDUL VAHID,SOCIAL DEMOCRATIC PARTY OF INDIA,1276,23,1299,0.67,Kerala-KUNNAMANGALAM
4,ABDUL RAHEEM P S/o. ABDUL KAREEM,Independent,210,12,222,0.11,Kerala-KUNNAMANGALAM
5,ABDUL RAHEEM S/o. HASSAN KOYA,Independent,725,13,738,0.38,Kerala-KUNNAMANGALAM
6,DINESH PERUMANNA,Independent,72998,1864,74862,38.62,Kerala-KUNNAMANGALAM
7,DINESHAN PAKKATH,Independent,972,49,1021,0.53,Kerala-KUNNAMANGALAM
8,DINESAN MUNDAKKAL,Independent,222,3,225,0.12,Kerala-KUNNAMANGALAM
9,BABU K G,Independent,715,9,724,0.37,Kerala-KUNNAMANGALAM
10,ADV. P. T. A RAHIM,Independent,82498,2640,85138,43.93,Kerala-KUNNAMANGALAM
11,NOTA,None of the Above,851,13,864,0.45,Kerala-KUNNAMANGALAM
1,Adv. K.K.ANEESHKUMAR,Bharatiya Janata Party,27479,354,27833,17.98,Kerala-KUNNAMKULAM
2,K.JAYASANKAR,Indian National Congress,47478,1423,48901,31.58,Kerala-KUNNAMKULAM
3,A.C.MOIDEEN,Communist Party of India  (Marxist),73979,1553,75532,48.78,Kerala-KUNNAMKULAM
4,V.S.ABOOBACKER,SOCIAL DEMOCRATIC PARTY OF INDIA,1229,12,1241,0.8,Kerala-KUNNAMKULAM
5,JAMES PANADAN,Independent,258,7,265,0.17,Kerala-KUNNAMKULAM
6,MOIDEEN.K.M s/o MUHAMMED,Independent,365,15,380,0.25,Kerala-KUNNAMKULAM
7,A.K.MOIDHEENKUTTY,Independent,110,10,120,0.08,Kerala-KUNNAMKULAM
8,NOTA,None of the Above,554,5,559,0.36,Kerala-KUNNAMKULAM
1,MANIKUTTAN.A.T,Bahujan Samaj Party,197,8,205,0.13,Kerala-KUNNATHUNAD
2,RENU SURESH,Bharatiya Janata Party,7056,162,7218,4.66,Kerala-KUNNATHUNAD
3,ADV. P.V.SREENIJIN,Communist Party of India  (Marxist),51180,1171,52351,33.79,Kerala-KUNNATHUNAD
4,V.P.SAJEENDRAN,Indian National Congress,48463,1173,49636,32.04,Kerala-KUNNATHUNAD
5,KRISHNAN ERANHIKAL,SOCIAL DEMOCRATIC PARTY OF INDIA,1289,5,1294,0.84,Kerala-KUNNATHUNAD
6,DR. SUJITH.P.SURENDRAN,Twenty 20 Party,41890,811,42701,27.56,Kerala-KUNNATHUNAD
7,VELAYUDHAN.V.K,Independent,165,3,168,0.11,Kerala-KUNNATHUNAD
8,SUJITH.K.SURENDRAN,Independent,761,25,786,0.51,Kerala-KUNNATHUNAD
9,NOTA,None of the Above,539,26,565,0.36,Kerala-KUNNATHUNAD
1,R.S. ANJU,Bahujan Samaj Party,920,26,946,0.59,Kerala-KUNNATHUR
2,ULLAS KOVOOR,Revolutionary Socialist Party,64326,2320,66646,41.4,Kerala-KUNNATHUR
3,RAJIPRASAD,Bharatiya Janata Party,21121,639,21760,13.52,Kerala-KUNNATHUR
4,R. SUKUMARAN,Anna Democratic Human Rights Movement Party of India,319,7,326,0.2,Kerala-KUNNATHUR
5,ARUNKUMAR S ULIYACOVIL,Independent,310,15,325,0.2,Kerala-KUNNATHUR
6,KOVOOR KUNJUMON,Independent,66807,2629,69436,43.13,Kerala-KUNNATHUR
7,MANTHARA VELAYUDHAN,Independent,612,11,623,0.39,Kerala-KUNNATHUR
8,NOTA,None of the Above,884,38,922,0.57,Kerala-KUNNATHUR
1,POTTANKANDI ABDULLA,Indian Union Muslim League,59720,1365,61085,39.23,Kerala-KUTHUPARAMBA
2,C. SADANANDAN MASTER,Bharatiya Janata Party,20795,417,21212,13.62,Kerala-KUTHUPARAMBA
3,K.P. MOHANAN,Loktantrik Janta Dal,68472,2154,70626,45.36,Kerala-KUTHUPARAMBA
4,ABDULLA PUTHIYAPARAMBATH,Independent,379,10,389,0.25,Kerala-KUTHUPARAMBA
5,MOHANAN KUNHIPARAMBATH MEETHAL,Independent,1334,26,1360,0.87,Kerala-KUTHUPARAMBA
6,MOHANAN K.P. KAITHAVECHA PARAMBATH,Independent,515,28,543,0.35,Kerala-KUTHUPARAMBA
7,NOTA,None of the Above,489,5,494,0.32,Kerala-KUTHUPARAMBA
1,THOMAS K THOMAS,Nationalist Congress Party,55532,1847,57379,45.67,Kerala-KUTTANAD
2,Adv. JACOB ABRAHAM,Kerala Congress,49876,1987,51863,41.28,Kerala-KUTTANAD
3,THAMPI METTUTHARA,Bharath Dharma Jana Sena,14551,395,14946,11.9,Kerala-KUTTANAD
4,BIJU XAVIER,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),369,23,392,0.31,Kerala-KUTTANAD
5,Dr. VINU,Democratic Social Justice Party,514,19,533,0.42,Kerala-KUTTANAD
6,NOTA,None of the Above,513,10,523,0.42,Kerala-KUTTANAD
1,K P KUNHAMMED KUTTI MASTER,Communist Party of India  (Marxist),77265,2878,80143,47.2,Kerala-KUTTIADI
2,PARAKKAL ABDULLA,Indian Union Muslim League,77561,2249,79810,47.01,Kerala-KUTTIADI
3,P P MURALI MASTER,Bharatiya Janata Party,8919,220,9139,5.38,Kerala-KUTTIADI
4,ABDULLA S/o POKKER,Independent,75,0,75,0.04,Kerala-KUTTIADI
5,K K KUNHAMMAD KUTTY,Independent,70,10,80,0.05,Kerala-KUTTIADI
6,V P PRATHEESH,Independent,103,5,108,0.06,Kerala-KUTTIADI
7,SURESH BABU M K,Independent,125,3,128,0.08,Kerala-KUTTIADI
8,NOTA,None of the Above,282,14,296,0.17,Kerala-KUTTIADI
1,S. K. Ananthakrishnan,Indian National Congress,34611,833,35444,21.66,Kerala-MALAMPUZHA
2,KRISHNAKUMAR.C,Bharatiya Janata Party,49301,899,50200,30.68,Kerala-MALAMPUZHA
3,A. PRABHAKARAN,Communist Party of India  (Marxist),74096,1838,75934,46.41,Kerala-MALAMPUZHA
4,K.PRASAD,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),550,5,555,0.34,Kerala-MALAMPUZHA
5,ABDUL RAHEEM. S,Independent,412,6,418,0.26,Kerala-MALAMPUZHA
6,NOTA,None of the Above,1041,13,1054,0.64,Kerala-MALAMPUZHA
1,PALOLI ABDURAHIMAN,Communist Party of India  (Marxist),56814,1144,57958,35.82,Kerala-MALAPPURAM
2,P. UBAIDULLA,Indian Union Muslim League,91470,1696,93166,57.57,Kerala-MALAPPURAM
3,PRASOBH .T,Bahujan Samaj Party,319,2,321,0.2,Kerala-MALAPPURAM
4,AREEKKAD SETHUMADHAVAN,Bharatiya Janata Party,5755,128,5883,3.64,Kerala-MALAPPURAM
5,E.C. AYISHA,Welfare Party Of India,3090,104,3194,1.97,Kerala-MALAPPURAM
6,T.K. BOSE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),309,0,309,0.19,Kerala-MALAPPURAM
7,NOTA,None of the Above,983,11,994,0.61,Kerala-MALAPPURAM
1,ABHAYAN.N.A,Bahujan Samaj Party,449,23,472,0.28,Kerala-MANALUR
2,MURALI,Communist Party of India  (Marxist),76339,1998,78337,46.77,Kerala-MANALUR
3,RADHAKRISHNAN,Bharatiya Janata Party,35951,615,36566,21.83,Kerala-MANALUR
4,VIJAY HARI,Indian National Congress,46607,1854,48461,28.93,Kerala-MANALUR
5,FAISAL,SOCIAL DEMOCRATIC PARTY OF INDIA,2266,28,2294,1.37,Kerala-MANALUR
6,M K DEVARAJAN,Independent,648,12,660,0.39,Kerala-MANALUR
7,NOTA,None of the Above,712,0,712,0.43,Kerala-MANALUR
1,O.R.KELU,Communist Party of India  (Marxist),70807,1729,72536,47.54,Kerala-MANANTHAVADY
2,P.K.Jayalakshmi,Indian National Congress,61741,1513,63254,41.46,Kerala-MANANTHAVADY
3,Palliyara Mukundan,Bharatiya Janata Party,12911,231,13142,8.61,Kerala-MANANTHAVADY
4,Vijaya Cheloor,Bahujan Samaj Party,188,2,190,0.12,Kerala-MANANTHAVADY
5,Babitha Sreenu,SOCIAL DEMOCRATIC PARTY OF INDIA,1966,26,1992,1.31,Kerala-MANANTHAVADY
6,Kelu K.K. S/o Kunkan,Independent,274,14,288,0.19,Kerala-MANANTHAVADY
7,Lakshmi,Independent,374,8,382,0.25,Kerala-MANANTHAVADY
8,NOTA,None of the Above,792,5,797,0.52,Kerala-MANANTHAVADY
1,NAZAR DEBONA,Communist Party of India,62881,1382,64263,40.93,Kerala-MANJERI
2,P.R. RASMIL NATH,Bharatiya Janata Party,11030,320,11350,7.23,Kerala-MANJERI
3,Adv. U.A. LATHEEF,Indian Union Muslim League,77384,1452,78836,50.22,Kerala-MANJERI
4,PALATHINGAL ABOOBACKER,Independent,1332,9,1341,0.85,Kerala-MANJERI
5,NOTA,None of the Above,1185,17,1202,0.77,Kerala-MANJERI
1,A K M ASHRAF,Indian Union Muslim League,65190,568,65758,38.14,Kerala-MANJESHWAR
2,V V RAMESHAN,Communist Party of India  (Marxist),40098,541,40639,23.57,Kerala-MANJESHWAR
3,K SURENDRAN,Bharatiya Janata Party,64000,1013,65013,37.7,Kerala-MANJESHWAR
4,PRAVEEN KUMAR S,Anna Democratic Human Rights Movement Party of India,250,1,251,0.15,Kerala-MANJESHWAR
5,JOHN D SOUZA I,Independent,180,1,181,0.1,Kerala-MANJESHWAR
6,SURENDRAN M S/o PADMAVATHI M,Independent,196,1,197,0.11,Kerala-MANJESHWAR
7,NOTA,None of the Above,387,0,387,0.22,Kerala-MANJESHWAR
1,MANJALAMKUZHI ALI,Indian Union Muslim League,81273,1958,83231,49.46,Kerala-MANKADA
2,SAJESH ELAYIL,Bharatiya Janata Party,6469,172,6641,3.95,Kerala-MANKADA
3,Adv. T.K. RASHEEDALI,Communist Party of India  (Marxist),75322,1663,76985,45.75,Kerala-MANKADA
4,ALI S/o ALAVI HAJI,Independent,193,0,193,0.11,Kerala-MANKADA
5,ALI S/o MUSTHAFA,Independent,345,5,350,0.21,Kerala-MANKADA
6,M.ALI,Independent,81,5,86,0.05,Kerala-MANKADA
7,RASHEEDALI S/o MAMMUNNI,Independent,168,15,183,0.11,Kerala-MANKADA
8,NOTA,None of the Above,590,9,599,0.36,Kerala-MANKADA
1,SIVADASAN,Bahujan Samaj Party,813,14,827,0.54,Kerala-MANNARKAD
2,ADVOCATE. N. SAMSUDHEEN,Indian Union Muslim League,70448,1209,71657,47.11,Kerala-MANNARKAD
3,K. P. SURESH RAJ,Communist Party of India,64621,1166,65787,43.25,Kerala-MANNARKAD
4,AGALI NASEEMA P,All India Anna Dravida Munnetra Kazhagam,10282,94,10376,6.82,Kerala-MANNARKAD
5,AJIKUMAR,Independent,157,2,159,0.1,Kerala-MANNARKAD
6,JAMES MASH,Independent,968,20,988,0.65,Kerala-MANNARKAD
7,SHIBU GEORGE,Independent,97,4,101,0.07,Kerala-MANNARKAD
8,SHAMSUDDEEN S/o. YUSAF,Independent,184,8,192,0.13,Kerala-MANNARKAD
9,SHAMSUDDEEN S/o. HAMZA,Independent,479,32,511,0.34,Kerala-MANNARKAD
10,SURESH,Independent,433,7,440,0.29,Kerala-MANNARKAD
11,SURESH BABU,Independent,303,1,304,0.2,Kerala-MANNARKAD
12,NOTA,None of the Above,753,7,760,0.5,Kerala-MANNARKAD
1,ILLIKKAL AUGUSTHY,Revolutionary Socialist Party,34195,971,35166,22.67,Kerala-MATTANNUR
2,BIJU ELAKKUZHI,Bharatiya Janata Party,17815,408,18223,11.75,Kerala-MATTANNUR
3,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),93007,3122,96129,61.97,Kerala-MATTANNUR
4,RAFEEK KEECHERY,SOCIAL DEMOCRATIC PARTY OF INDIA,4173,28,4201,2.71,Kerala-MATTANNUR
5,AGUSTHY N A,Independent,603,16,619,0.4,Kerala-MATTANNUR
6,NOTA,None of the Above,781,15,796,0.51,Kerala-MATTANNUR
1,M S ARUN KUMAR,Communist Party of India  (Marxist),69623,2120,71743,47.61,Kerala-MAVELIKARA
2,K K SHAJU,Indian National Congress,45246,1780,47026,31.21,Kerala-MAVELIKARA
3,K SANJU,Bharatiya Janata Party,30215,740,30955,20.54,Kerala-MAVELIKARA
4,K SASIKUMAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),147,4,151,0.1,Kerala-MAVELIKARA
5,SURESH NOORANAD,Ambedkarite Party of India,158,7,165,0.11,Kerala-MAVELIKARA
6,B SUBHASH,Independent,128,3,131,0.09,Kerala-MAVELIKARA
7,NOTA,None of the Above,513,6,519,0.34,Kerala-MAVELIKARA
1,ELDHO ABRAHAM,Communist Party of India,56949,1315,58264,40.36,Kerala-MUVATTUPUZHA
2,JIJI JOSEPH,Bharatiya Janata Party,7335,192,7527,5.21,Kerala-MUVATTUPUZHA
3,Dr. MATHEW KUZHALNADAN,Indian National Congress,62417,2008,64425,44.63,Kerala-MUVATTUPUZHA
4,C. K. THAMPI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),170,6,176,0.12,Kerala-MUVATTUPUZHA
5,Adv. C.N. PRAKASH,Twenty 20 Party,13308,227,13535,9.38,Kerala-MUVATTUPUZHA
6,NOTA,None of the Above,421,6,427,0.3,Kerala-MUVATTUPUZHA
1,ADV. K. PRAVEEN KUMAR,Indian National Congress,77103,2155,79258,45.16,Kerala-NADAPURAM
2,M. P. RAJAN,Bharatiya Janata Party,10320,217,10537,6,Kerala-NADAPURAM
3,E. K. VIJAYAN,Communist Party of India,80571,2722,83293,47.46,Kerala-NADAPURAM
4,K. K. NASAR MASTER,SOCIAL DEMOCRATIC PARTY OF INDIA,1654,22,1676,0.95,Kerala-NADAPURAM
5,SREEDHARAN K K,National Labour Party,163,2,165,0.09,Kerala-NADAPURAM
6,T.PRAVEEN KUMAR S/O KANNAN,Independent,256,2,258,0.15,Kerala-NADAPURAM
7,NOTA,None of the Above,307,9,316,0.18,Kerala-NADAPURAM
1,C C MUKUNDHAN,Communist Party of India,71297,1633,72930,47.49,Kerala-NATTIKA
2,LOJANAN AMBATT,Bharatiya Janata Party,33190,526,33716,21.96,Kerala-NATTIKA
3,VIMAL MALLIKA VIJAYAN,Bahujan Samaj Party,357,10,367,0.24,Kerala-NATTIKA
4,ADV. SUNIL LALOOR,Indian National Congress,43379,1120,44499,28.98,Kerala-NATTIKA
5,C S JITHESHKUMAR,Independent,604,13,617,0.4,Kerala-NATTIKA
6,SIVARATHNAN ALATHI,Independent,585,10,595,0.39,Kerala-NATTIKA
7,NOTA,None of the Above,815,15,830,0.54,Kerala-NATTIKA
1,Adv. G. R. ANIL,Communist Party of India,70245,2497,72742,47.54,Kerala-NEDUMANGAD
2,Adv. J. R. PADMAKUMAR,Bharatiya Janata Party,26242,619,26861,17.56,Kerala-NEDUMANGAD
3,P. S. PRASANTH,Indian National Congress,47877,1556,49433,32.31,Kerala-NEDUMANGAD
4,BIPIN PALLIPURAM,Bahujan Samaj Party,553,10,563,0.37,Kerala-NEDUMANGAD
5,IRSHAD KANYAKULANGARA,SOCIAL DEMOCRATIC PARTY OF INDIA,1867,17,1884,1.23,Kerala-NEDUMANGAD
6,EBINU. S,Independent,132,14,146,0.1,Kerala-NEDUMANGAD
7,THATHANKODU KANNAN,Independent,165,5,170,0.11,Kerala-NEDUMANGAD
8,PRASANTH. C S/o CHANDRAN. K,Independent,145,15,160,0.1,Kerala-NEDUMANGAD
9,HARI VELLANADU,Independent,126,0,126,0.08,Kerala-NEDUMANGAD
10,NOTA,None of the Above,903,14,917,0.6,Kerala-NEDUMANGAD
1,Kummanam Rajasekharan,Bharatiya Janata Party,50856,1032,51888,35.54,Kerala-NEMOM
2,K.Muraleedharan,Indian National Congress,35532,992,36524,25.01,Kerala-NEMOM
3,D.Vijayan,Bahujan Samaj Party,352,4,356,0.24,Kerala-NEMOM
4,V.Sivankutty,Communist Party of India  (Marxist),54452,1385,55837,38.24,Kerala-NEMOM
5,Jain Wilson,Independent,164,1,165,0.11,Kerala-NEMOM
6,Balachandran Valkannadi,Independent,84,1,85,0.06,Kerala-NEMOM
7,Muraleedharan Nair,Independent,46,2,48,0.03,Kerala-NEMOM
8,Rajasekharan,Independent,46,4,50,0.03,Kerala-NEMOM
9,Arampally Vijayaraj,Independent,136,2,138,0.09,Kerala-NEMOM
10,Shine Raj.B,Independent,65,5,70,0.05,Kerala-NEMOM
11,L Sathyan Nadar,Independent,100,0,100,0.07,Kerala-NEMOM
12,NOTA,None of the Above,749,7,756,0.52,Kerala-NEMOM
1,Prakash.C,Bahujan Samaj Party,1302,48,1350,0.89,Kerala-NENMARA
2,K. Babu,Communist Party of India  (Marxist),77887,2258,80145,52.89,Kerala-NENMARA
3,Anurag .A.N,Bharath Dharma Jana Sena,16388,278,16666,11,Kerala-NENMARA
4,C.N.Vijayakrishnan,Communist Marxist Party Kerala State Committee,50491,950,51441,33.95,Kerala-NENMARA
5,Babu S/o Kunchu,Independent,841,22,863,0.57,Kerala-NENMARA
6,NOTA,None of the Above,1049,21,1070,0.71,Kerala-NENMARA
1,K. ANSALAN,Communist Party of India  (Marxist),63345,2152,65497,47.02,Kerala-NEYYATTINKARA
2,PREMAKUMAR. T. R,Bahujan Samaj Party,626,17,643,0.46,Kerala-NEYYATTINKARA
3,CHENKAL. S. RAJASEKHARAN NAIR,Bharatiya Janata Party,20475,534,21009,15.08,Kerala-NEYYATTINKARA
4,SELVARAJ. R,Indian National Congress,49451,1784,51235,36.78,Kerala-NEYYATTINKARA
5,NOTA,None of the Above,892,15,907,0.65,Kerala-NEYYATTINKARA
1,ADV. T. K ASHOKKUMAR,Bharatiya Janata Party,8440,155,8595,4.96,Kerala-NILAMBUR
2,ADV: V.V. PRAKASH,Indian National Congress,76713,1814,78527,45.34,Kerala-NILAMBUR
3,ANILA MATHEW,Indian Christian Secular Party,501,8,509,0.29,Kerala-NILAMBUR
4,K. BABU MANI,SOCIAL DEMOCRATIC PARTY OF INDIA,3249,32,3281,1.89,Kerala-NILAMBUR
5,P.V. ANVAR,Independent,79505,1722,81227,46.9,Kerala-NILAMBUR
6,SAJADURAHMAN.C.P,Independent,554,5,559,0.32,Kerala-NILAMBUR
7,NOTA,None of the Above,499,8,507,0.29,Kerala-NILAMBUR
1,Adv. B Gopalakrishnan,Bharatiya Janata Party,22065,230,22295,14.28,Kerala-OLLUR
2,Jose Valloor,Indian National Congress,54100,1051,55151,35.31,Kerala-OLLUR
3,K Rajan,Communist Party of India,75357,1300,76657,49.09,Kerala-OLLUR
4,P K Subramanian,Bahujan Samaj Party,276,6,282,0.18,Kerala-OLLUR
5,K K GEORGE KAKKASSERY,Independent,621,7,628,0.4,Kerala-OLLUR
6,Benny Kodiyatil,Independent,330,1,331,0.21,Kerala-OLLUR
7,NOTA,None of the Above,814,13,827,0.53,Kerala-OLLUR
1,Adv. K. PREMKUMAR,Communist Party of India  (Marxist),72977,1882,74859,46.45,Kerala-OTTAPALAM
2,P. VENUGOPALAN,Bharatiya Janata Party,24516,540,25056,15.55,Kerala-OTTAPALAM
3,P.P. SIVAN,Bahujan Samaj Party,654,18,672,0.42,Kerala-OTTAPALAM
4,DOCTOR P. SARIN,Indian National Congress,58399,1308,59707,37.05,Kerala-OTTAPALAM
5,NOTA,None of the Above,852,15,867,0.54,Kerala-OTTAPALAM
1,JOY THOMAS VAZHAMATTOM,Bahujan Samaj Party,355,13,368,0.27,Kerala-PALA
2,JOSE K. MANI,Kerala Congress  (M),52697,1729,54426,39.32,Kerala-PALA
3,PRAMEELADEVI .J,Bharatiya Janata Party,10533,336,10869,7.85,Kerala-PALA
4,ALBIN MATHEW,Independent,118,3,121,0.09,Kerala-PALA
5,C. V. JOHN,Independent,243,6,249,0.18,Kerala-PALA
6,THOMAS J. NIDIRY,Independent,158,2,160,0.12,Kerala-PALA
7,MANI C KAPPEN,Independent,67638,2166,69804,50.43,Kerala-PALA
8,MANI C. KURIAKOSE,Independent,1065,33,1098,0.79,Kerala-PALA
9,SREEJITH V S,Independent,191,4,195,0.14,Kerala-PALA
10,SANTHOSH PULICKAL,Independent,439,5,444,0.32,Kerala-PALA
11,SUNIL ALANCHERIL,Independent,88,5,93,0.07,Kerala-PALA
12,NOTA,None of the Above,597,7,604,0.44,Kerala-PALA
1,Adv.  C.P. PROMOD,Communist Party of India  (Marxist),35622,811,36433,25.64,Kerala-PALAKKAD
2,E.T.K. VALSAN,Bahujan Samaj Party,348,11,359,0.25,Kerala-PALAKKAD
3,E. SREEDHARAN,Bharatiya Janata Party,49155,1065,50220,35.34,Kerala-PALAKKAD
4,SHAFI PARAMBIL,Indian National Congress,53080,999,54079,38.06,Kerala-PALAKKAD
5,JAYAPRAKASH. J,Samajwadi Forward Bloc,217,4,221,0.16,Kerala-PALAKKAD
6,K. RAJESH,Akhil Bharat Hindu Mahasabha,104,1,105,0.07,Kerala-PALAKKAD
7,V. SACHIDANANDAN,Independent,152,7,159,0.11,Kerala-PALAKKAD
8,NOTA,None of the Above,514,14,528,0.37,Kerala-PALAKKAD
