O.S.N,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,state_constituency
12,LALU NEYE,Independent,324,0,324,0.18,West Bengal-Rajarhat  Gopalpur
13,NOTA,None of the Above,2251,7,2258,1.26,West Bengal-Rajarhat  Gopalpur
1,BHASKAR ROY  S/O - DULAL ROY,Bharatiya Janata Party,70658,284,70942,30.2,West Bengal-Rajarhat New Town
2,BHASKAR ROY S/O - KRISHNA KANTA ROY,Bahujan Samaj Party,1127,10,1137,0.48,West Bengal-Rajarhat New Town
3,SAPTARSHI DEB,Communist Party of India  (Marxist),31419,124,31543,13.43,West Bengal-Rajarhat New Town
4,TAPASH CHATTERJEE,All India Trinamool Congress,126945,429,127374,54.22,West Bengal-Rajarhat New Town
5,SUBHENDU GHOSH,Independent,1310,3,1313,0.56,West Bengal-Rajarhat New Town
6,SUBIR SAMADDAR,Independent,563,2,565,0.24,West Bengal-Rajarhat New Town
7,NOTA,None of the Above,2028,4,2032,0.87,West Bengal-Rajarhat New Town
1,KHAGESWAR ROY,All India Trinamool Congress,103587,1054,104641,48.5,West Bengal-Rajganj
2,RATAN KUMAR ROY,Communist Party of India  (Marxist),11897,211,12108,5.61,West Bengal-Rajganj
3,SANTI KISHOR BARARI,Bahujan Samaj Party,1498,12,1510,0.7,West Bengal-Rajganj
4,SUPEN ROY,Bharatiya Janata Party,87822,1046,88868,41.19,West Bengal-Rajganj
5,UDAY ROY,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1590,15,1605,0.74,West Bengal-Rajganj
6,TAPATI ROY (BARMAN),Kamatapur People’s Party (United),1851,9,1860,0.86,West Bengal-Rajganj
7,NIRODE CHANDRA ADHIKARY,Amra Bangalee,833,9,842,0.39,West Bengal-Rajganj
8,DIGBIJAY MANDAL,Independent,1137,9,1146,0.53,West Bengal-Rajganj
9,NOTA,None of the Above,3161,14,3175,1.47,West Bengal-Rajganj
1,AKHIL GIRI,All India Trinamool Congress,111870,752,112622,50.72,West Bengal-Ramnagar
2,SABYASACHI JANA,Communist Party of India  (Marxist),6657,94,6751,3.04,West Bengal-Ramnagar
3,SWADESH RANJAN NAYAK,Bharatiya Janata Party,99477,628,100105,45.08,West Bengal-Ramnagar
4,ARATI PAHARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),942,2,944,0.43,West Bengal-Ramnagar
5,TRAYEE PRADHAN,Right to Recall Party,399,6,405,0.18,West Bengal-Ramnagar
6,NOTA,None of the Above,1230,3,1233,0.56,West Bengal-Ramnagar
1,ASISH BANERJEE,All India Trinamool Congress,102251,1025,103276,47.52,West Bengal-Rampurhat
2,BIPAD TARAN DOM,Bahujan Samaj Party,1587,0,1587,0.73,West Bengal-Rampurhat
3,SUBHASIS CHOUDHURY (KHOKAN),Bharatiya Janata Party,93574,1230,94804,43.62,West Bengal-Rampurhat
4,SANJIB BARMAN (GOPI),Communist Party of India  (Marxist),11578,129,11707,5.39,West Bengal-Rampurhat
5,IBANE RASUL (ANGUR MIYA),Bahujan Maha Party,1607,1,1608,0.74,West Bengal-Rampurhat
6,FORIDA YASMIN (KEYA),SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),956,4,960,0.44,West Bengal-Rampurhat
7,NOTA,None of the Above,3369,12,3381,1.56,West Bengal-Rampurhat
1,PRASANTA BISWAS,Bahujan Samaj Party,1654,12,1666,0.69,West Bengal-Ranaghat Dakshin
2,BARNALI DEY ROY,All India Trinamool Congress,101882,863,102745,42.51,West Bengal-Ranaghat Dakshin
3,MUKUT MANI ADHIKARI,Bharatiya Janata Party,118374,886,119260,49.34,West Bengal-Ranaghat Dakshin
4,RAMA BISWAS,Communist Party of India  (Marxist),14921,203,15124,6.26,West Bengal-Ranaghat Dakshin
5,NANIGOPAL MISTRI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1313,2,1315,0.54,West Bengal-Ranaghat Dakshin
6,NOTA,None of the Above,1561,16,1577,0.65,West Bengal-Ranaghat Dakshin
1,AMAL SARKAR,Bahujan Samaj Party,1299,13,1312,0.59,West Bengal-Ranaghat Uttar Paschim
2,PARTHASARATHI CHATTERJEE,Bharatiya Janata Party,112413,1224,113637,50.91,West Bengal-Ranaghat Uttar Paschim
3,BIJAYENDU BISWAS (HABU),Indian National Congress,10134,211,10345,4.64,West Bengal-Ranaghat Uttar Paschim
4,SANKAR SINGHA,All India Trinamool Congress,89503,1006,90509,40.55,West Bengal-Ranaghat Uttar Paschim
5,APARNA GUHA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1062,6,1068,0.48,West Bengal-Ranaghat Uttar Paschim
6,SOURAV CHAKRABORTY,Socialist Party (India),701,0,701,0.31,West Bengal-Ranaghat Uttar Paschim
7,ALPANA BANDYOPADHYAY,Independent,1064,6,1070,0.48,West Bengal-Ranaghat Uttar Paschim
8,RATAN MALAKAR,Independent,1157,3,1160,0.52,West Bengal-Ranaghat Uttar Paschim
9,RABINDRA NATH BISWAS,Independent,1125,8,1133,0.51,West Bengal-Ranaghat Uttar Paschim
10,NOTA,None of the Above,2216,42,2258,1.01,West Bengal-Ranaghat Uttar Paschim
1,ASHIM BISWAS,Bharatiya Janata Party,115665,1121,116786,54.39,West Bengal-Ranaghat Uttar Purba
2,SANJIT KUMAR MANDAL,Bahujan Samaj Party,2087,30,2117,0.99,West Bengal-Ranaghat Uttar Purba
3,SAMIR KUMAR PODDAR,All India Trinamool Congress,84146,858,85004,39.59,West Bengal-Ranaghat Uttar Purba
4,DINESH CHANDRA BISWAS,Rashtriya Secular Majlis Party,5115,89,5204,2.42,West Bengal-Ranaghat Uttar Purba
5,SAMIR KUMAR BISWAS,Bahujan Mukti Party,486,2,488,0.23,West Bengal-Ranaghat Uttar Purba
6,SWADHIN BISWAS,Purvanchal Mahapanchayat,482,3,485,0.23,West Bengal-Ranaghat Uttar Purba
7,APURBA LAL ROY,Independent,1224,4,1228,0.57,West Bengal-Ranaghat Uttar Purba
8,KAMAL SARKAR,Independent,1060,5,1065,0.5,West Bengal-Ranaghat Uttar Purba
9,NOTA,None of the Above,2339,20,2359,1.1,West Bengal-Ranaghat Uttar Purba
1,Kshudiram Tudu,Bharatiya Janata Party,85922,1067,86989,41.19,West Bengal-Ranibandh
2,Jyotsna Mandi,All India Trinamool Congress,90064,864,90928,43.06,West Bengal-Ranibandh
